map,category,test_type,qn_category,gift_filename
,,,autotransproc,07_autotransproc.txt
,,Find-The-Missing Word,driveconfig,006_drive_config.txt
,,,manualtrans,103_man_transmissions.txt
,,,gearboxlayoutop,104_gearbox_layout.txt
,,,clutches,101_clutches.txt
,,,clutchcomp,102_clutch_components.txt
,,,basiclayouts,117_basic_layouts.txt
,,,frontwheeldrive,118_front-wheel_drive.txt
,,,rearwheeldrive,119_rear-wheel_drive.txt
,,,fourwheeldrive,120_four-wheel_drive.txt
,,,allwheeldrive,121_all-wheel_drive.txt
,,,torqueconverters,106_torque_converters.txt
,,,planetarygearing,107_planetary_gearing.txt
,,,layoutop,109_layout_operation.txt
,,,servosclutches,110_servos_clutches.txt
,,,hydraulicsyscontrols,111_hydraulic_sys_cntrls.txt
,,,valvetypes,112_valve_types.txt
,,,pressureregulation,113_pressure_regulation.txt
,,,flowcontrol,114_flow_control.txt
,,,eleccontroltrans,108_elec_control_trans.txt
,,,cvt,115_cvt.txt
,,,clutchesmanualtransproc,105_clutch_procedures.txt
,,,finaldriveproc,116_auto_trans_procedures.txt
,,,autotransproc,122_final_drive_procedures.txt
,Braking Systems,Topic Group Test,brakingfundas,06_brakingfund.txt
,,,brakingsys,06_brakingsys.txt
,,,brakingsyscomp,06_brakesyscomp.txt
,,,drumbrakes,06_drumbrakescomp.txt
,,,discbrakes,06_discbrakescomp.txt
,,,brakesproc,06_brakesproc.txt
,,,antilockbrakes,06_antilockbrakesyscomp.txt
,,Find-The-Missing Word,brakingfundas,094_brake_fundamentals.txt
,,,brakingsys,095_braking_systems.txt
,,,brakingsyscomp,096_brk-components.txt
,,,drumbrakes,097_drum_brakes.txt
,,,discbrakes,098_disc_brakes.txt
,,,brakesproc,100_brakes_procedures.txt
,,,antilockbrakes,099_antilock_brakes.txt
,Steering & Suspension,Topic Group Test,steeringprinc,05_steerprinc.txt
,,,steeringboxes,05_steerboxescolumns.txt
,,,steeringarms,05_steerarmscomps.txt
,,,suspfundas,05_suspfundpric.txt
,,,typesofsusp,05_typesofsusp.txt
,,,typesofsprings,05_typesofsprings.txt
,,,shocktypes,05_shockabsorbertypes.txt
,,,frontsusptypes,05_frontsusptypescomp.txt
,,,rearsusptypes,05_rearsusptypescomp.txt
,,,suspsyslayouts,05_suspsyslayouts.txt
,,,wheelalignfundas,05_wheelalignfund.txt
,,,steersysproc,05_steersysproc.txt
,,,suspsysproc,05_suspsysproc.txt
,,Find-The-Missing Word,steeringprinc,077_steering_princ.txt
,,,steeringboxes,078_steering_boxes.txt
,,,steeringarms,079_steering_arms.txt
,,,suspfundas,081_susp_principles.txt
,,,typesofsusp,082_types_of_suspn.txt
,,,typesofsprings,083_types_of_springs.txt
,,,shocktypes,084_shock_absorber_types.txt
,,,frontsusptypes,085_front_susp.txt
,,,rearsusptypes,086_rear_susp.txt
,,,suspsyslayouts,087_susp_layouts.txt
,,,wheelalignfundas,092_wheel_alignment.txt
,,,steersysproc,080_steering_procedures.txt
,,,suspsysproc,088_susp_procedures.txt
,Tyres,Topic Group Test,wheeltypes,05_wheeltypessizes.txt
,,,tiretypes,05_tiretypescharac.txt
,,,tireconstruction,05_tireconstruct.txt
,,,wheelstiresproc,05_wheelstiresproc.txt
,,Find-The-Missing Word,wheeltypes,089_wheel_types.txt
,,,tiretypes,090_tire_types.txt
,,,tireconstruction,091_tire_construction.txt
,,,wheelstiresproc,093_wheels_procedure.txt
,Electrical & Electronics,Topic Group Test,elecfundas,08_elecfund.txt
,,,sourceselec,08_sourceselec.txt
,,,effectselec,08_effectselec.txt
,,,electrics,11_electrics.txt
,,,circuitsmeasure,08_circuitsmeasurement.txt
,,,wires,08_wiresconnproc.txt
,,,electricalcomp,08_electricalcomp.txt
,,,electroniccomp,08_electroniccomp.txt
,,,batteries,08_batteries.txt
,,,batteryproc,08_batterymainproc.txt
,,,charging,08_charging.txt
,,,alternatorconst,08_alternatorconst.txt
,,,chargingproc,08_chargingproc.txt
,,,starting,08_starting.txt
,,,startingproc,08_startingproc.txt
,,,lighting,08_lighting.txt
,,,typeslight,08_typeslights.txt
,,,lightingcircuits,08_lightingcircuits.txt
,,,lightingproc,08_lightingproc.txt
,,,electestproc,08_electestproc.txt
,,,ignitionsys,08_ignitionsys.txt
,,,contactbreakerignition,08_contactbreakig.txt
,,,contactbreakcomp,08_contactbreakcomp.txt
,,,electronicsyscomp,08_electronicsyscomp.txt
,,,distributorless,08_distribsys.txt
,,,ignitionproc,08_igproc.txt
,,,electronics,11_electronics.txt
,,,securitysys,10_securitysystems.txt
,,,entertainment,10_entperipheralsys.txt
,,,satellitesys,10_satelitesystems.txt
,,,hybridsystems,03_hybriddrivesystems.txt
,,Find-The-Missing Word,elecfundas,123_electrical_fundamentals.txt
,,,sourceselec,124_sources_of_elect.txt
,,,effectselec,125_effects_of_elect.txt
,,,electrics,166_ss_electrics.txt
,,,circuitsmeasure,126_circuits_measurement.txt
,,,wires,129_wires_procedures.txt
,,,electricalcomp,128_electrical_comp.txt
,,,electroniccomp,130_electronic_comp.txt
,,,batteries,131_batteries.txt
,,,batteryproc,132_battery_procedures.txt
,,,charging,139_charging.txt
,,,alternatorconst,140_alternator_const.txt
,,,chargingproc,141_charging_procedures.txt
,,,starting,142_starting.txt
,,,startingproc,143_starting_procedures.txt
,,,lighting,144_lighting.txt
,,,typeslight,145_types_of_lights.txt
,,,lightingcircuits,146_lighting_circuits.txt
,,,lightingproc,147_lighting_procedures.txt
,,,electestproc,127_elect_testing_procedures.txt
,,,ignitionsys,133_ignition_sys.txt
,,,contactbreakerignition,134_contact_breaker_ign.txt
,,,contactbreakcomp,135_contact_breaker_comp.txt
,,,electronicsyscomp,136_elec_sys_comp.txt
,,,distributorless,137_distributorless_sys.txt
,,,ignitionproc,138_ignition_procedures.txt
,,,electronics,167_ss_electronics.txt
