map,category,test_type,qn_category,gift_filename
,,,electronics,11_electronics.txt
,,,batteries,08_batteries.txt
,,,batterymaintenanceproc,08_batterymainproc.txt
,,,charging,08_charging.txt
,,,alternatorconstruction,08_alternatorconst.txt
,,,chargingproc,08_chargingproc.txt
,,,starting,08_starting.txt
,,,startingproc,08_startingproc.txt
,,,lighting,08_lighting.txt
,,,typesoflights,08_typeslights.txt
,,,lightingcircuits,08_lightingcircuits.txt
,,,lightingproc,08_lightingproc.txt
,,,entertainment,10_entperipheralsys.txt
,,,securitysys,10_securitysystems.txt
,,,satellitesys,10_satelitesystems.txt
,,,hvacbasicprinc,09_hvacbasicprinc.txt
,,,fixedorifice,09_fixedorificeaircon.txt
,,,thermalexpansion,09_thermalaircon.txt
,,,airconcomp,09_airconcomp.txt
,,,climatecontrol,09_climatecontrol.txt
,,,hvacproc,09_hvacproc.txt
,,Find-The-Missing Word,elecfundas,123_electrical_fundamentals.txt
,,,electrics,166_ss_electrics.txt
,,,sourceselec,124_sources_of_elect.txt
,,,effectselec,125_effects_of_elect.txt
,,,circuitsmeasure,126_circuits_measurement.txt
,,,electestproc,127_elect_testing_procedures.txt
,,,electricalcomp,128_electrical_comp.txt
,,,wires,129_wires_procedures.txt
,,,electroniccomp,130_electronic_comp.txt
,,,electronics,167_ss_electronics.txt
,,,batteries,131_batteries.txt
,,,batterymaintenanceproc,132_battery_procedures.txt
,,,charging,139_charging.txt
,,,alternatorconstruction,140_alternator_const.txt
,,,chargingproc,141_charging_procedures.txt
,,,starting,142_starting.txt
,,,startingproc,143_starting_procedures.txt
,,,lighting,144_lighting.txt
,,,typesoflights,145_types_of_lights.txt
,,,lightingcircuits,146_lighting_circuits.txt
,,,lightingproc,147_lighting_procedures.txt
,,,entertainment,156_entertainment_systems.txt
,,,securitysys,155_security_systems.txt
,,,satellitesys,157_satellite_systems.txt
,,,hvacbasicprinc,148_hvac_basic_principles.txt
,,,fixedorifice,149_fixed_orifice.txt
,,,thermalexpansion,150_thermal_expansion.txt
,,,airconcomp,151_air-con_components.txt
,,,climatecontrol,152_climate_control.txt
,,,hvacproc,153_hvac_procedures.txt
,"Steering, Suspension, Brake & Control",Topic Group Test,steeringprinc,05_steerprinc.txt
,,,steerboxes,05_steerboxescolumns.txt
,,,steeringarms,05_steerarmscomps.txt
,,,steersysproc,05_steersysproc.txt
,,,suspensionfundas,05_suspfundpric.txt
,,,suspensiontypes,05_typesofsusp.txt
,,,springtypes,05_typesofsprings.txt
,,,shocktypes,05_shockabsorbertypes.txt
,,,frontsusptypes,05_frontsusptypescomp.txt
,,,rearsusptypes,05_rearsusptypescomp.txt
,,,suspsyslayouts,05_suspsyslayouts.txt
,,,suspsysproc,05_suspsysproc.txt
,,,brakesfundas,06_brakingfund.txt
,,,brakesys,06_brakingsys.txt
,,,brakesyscomp,06_brakesyscomp.txt
,,,drumbrakescomp,06_drumbrakescomp.txt
,,,discbrakecomp,06_discbrakescomp.txt
,,,antilockbrakes,06_antilockbrakesyscomp.txt
,,,brakesproc,06_brakesproc.txt
,,,wheeltypes,05_wheeltypessizes.txt
,,,tiretypes,05_tiretypescharac.txt
,,,tireconstruction,05_tireconstruct.txt
,,,wheelalign,05_wheelalignfund.txt
,,,wheelstiresproc,05_wheelstiresproc.txt
,,Find-The-Missing Word,steeringprinc,077_steering_princ.txt
,,,steerboxes,078_steering_boxes.txt
,,,steeringarms,079_steering_arms.txt
,,,steersysproc,080_steering_procedures.txt
,,,suspensionfundas,081_susp_principles.txt
,,,suspensiontypes,082_types_of_suspn.txt
,,,springtypes,083_types_of_springs.txt
,,,shocktypes,084_shock_absorber_types.txt
,,,frontsusptypes,085_front_susp.txt
,,,rearsusptypes,086_rear_susp.txt
,,,suspsyslayouts,087_susp_layouts.txt
,,,suspsysproc,088_susp_procedures.txt
,,,brakesfundas,094_brake_fundamentals.txt
,,,brakesys,095_braking_systems.txt
,,,brakesyscomp,096_brk-components.txt
,,,drumbrakescomp,097_drum_brakes.txt
,,,discbrakecomp,098_disc_brakes.txt
,,,antilockbrakes,099_antilock_brakes.txt
,,,brakesproc,100_brakes_procedures.txt
,,,wheeltypes,089_wheel_types.txt
,,,tiretypes,090_tire_types.txt
,,,tireconstruction,091_tire_construction.txt
,,,wheelalign,092_wheel_alignment.txt
,,,wheelstiresproc,093_wheels_procedure.txt
,"Body, Trim & Restraint",Topic Group Test,safetysys,10_safetysystems.txt
,,Find-The-Missing Word,safetysys,154_safety_systems.txt



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































,,,,08_elecfund.txt
,,,,08_sourceselec.txt
,,,,08_effectselec.txt
,,,,11_electrics.txt
,,,,08_circuitsmeasurement.txt



















,,,,123_electrical_fundamentals.txt
,,,,124_sources_of_elect.txt
