menu,cdx_menu_name,map,shortname,category,test_type,test_type_abbr,quiz,qn_category
,,,,,,,Electronic control transmission,eleccontroltrans
,,,,,,,Continuously variable transmission (C.V.T.),cvt
,,,,,,,Clutches & manual transmission procedures,clutchesmanualtransproc
,,,,,,,Final drives procedures,finaldriveproc
,,,,,,,Automatic transmission procedures,autotransproc
,,,,,Practice Exam,PE,MITO Transmission Systems,51MITOtranssysPE
,,,Brakes,Braking Systems,Topic Group Test,TGT,Braking fundamentals ,brakingfundas
,,,,,,,Braking systems ,brakingsys
,,,,,,,Braking system components,brakingsyscomp
,,,,,,,Drum brakes & components ,drumbrakes
,,,,,,,Disc brakes & components ,discbrakes
,,,,,,,Antilock braking system & components,antilockbrakes
,,,,,Find-The-Missing Word,FTMW,Braking fundamentals ,brakingfundas
,,,,,,,Braking systems ,brakingsys
,,,,,,,Braking system components,brakingsyscomp
,,,,,,,Drum brakes & components ,drumbrakes
,,,,,,,Disc brakes & components ,discbrakes
,,,,,,,Brakes procedures,brakesproc
,,,,,,,Antilock braking system & components,antilockbrakes
,,,,,Practice Exam,PE,MITO Braking Systems,51MITObrakesysPE
,,,steersusp,Steering & Suspension,Topic Group Test,TGT,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steeringboxes
,,,,,,,Steering arms & components,steeringarms
,,,,,,,Suspension fundamental principles,suspfundas
,,,,,,,Types of suspension,typesofsusp
,,,,,,,Types of springs,typesofsprings
,,,,,,,Shock absorber types ,shocktypes
,,,,,,,Front suspension types & components,frontsusptypes
,,,,,,,Rear suspension types & components,rearsusptypes
,,,,,,,Suspension system layouts,suspsyslayouts
,,,,,,,Wheel alignment fundamentals,wheelalignfundas
,,,,,Find-The-Missing Word,FTMW,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steeringboxes
,,,,,,,Steering arms & components,steeringarms
,,,,,,,Suspension fundamental principles,suspfundas
,,,,,,,Types of suspension,typesofsusp
,,,,,,,Types of springs,typesofsprings
,,,,,,,Shock absorber types ,shocktypes
,,,,,,,Front suspension types & components,frontsusptypes
,,,,,,,Rear suspension types & components,rearsusptypes
,,,,,,,Suspension system layouts,suspsyslayouts
,,,,,,,Wheel alignment fundamentals,wheelalignfundas
,,,,,,,Steering system procedures,steersysproc
,,,,,,,Suspension system procedures,suspsysproc
,,,,,Practice Exam,PE,MITO Steering & Suspension,51MITOsteersuspPE
,,,tyres,Tyres,Topic Group Test,TGT,Wheel types & sizes ,wheeltypes
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,Find-The-Missing Word,FTMW,Wheel types & sizes ,wheeltypes
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,,,Wheels & tires procedures,wheelstiresproc
,,,elec,Electrical & Electronics,Topic Group Test,TGT,Electrical fundamentals,elecfundas
,,,,,,,Sources of electricity,sourceselec
,,,,,,,Effects of electricity,effectselec
,,,,,,,Electrics,electrics
,,,,,,,Circuits & measurement,circuitsmeasure
,,,,,,,Electrical components,electricalcomp
,,,,,,,Electronic components,electroniccomp
,,,,,,,Batteries,batteries
,,,,,,,Charging,charging
,,,,,,,Alternator construction,alternatorconst
,,,,,,,Starting,starting
,,,,,,,Lighting,lighting
,,,,,,,Types of lights,typeslight
,,,,,,,Lighting circuits,lightingcircuits
,,,,,,,Ignition systems,ignitionsys
,,,,,,,Contact breaker ignition,contactbreakerignition
,,,,,,,Contact breaker components,contactbreakcomp
,,,,,,,Electronic systems & components,electronicsyscomp
,,,,,,,Distributorless systems ,distributorless
,,,,,,,Electronics,electronics
,,,,,,,Security systems,securitysys
,,,,,,,Entertainment & peripheral systems,entertainment
,,,,,,,Satellite assisted systems,satellitesys
,,,,,,,Hybrid drive systems,hybridsystems
,,,,,Find-The-Missing Word,FTMW,Electrical fundamentals,elecfundas
,,,,,,,Sources of electricity,sourceselec
,,,,,,,Effects of electricity,effectselec
,,,,,,,Electrics,electrics
,,,,,,,Circuits & measurement,circuitsmeasure
,,,,,,,Wires & connectors procedures ,wires
,,,,,,,Electrical components,electricalcomp
,,,,,,,Electronic components,electroniccomp
,,,,,,,Batteries,batteries
,,,,,,,Battery maintenance procedures,batteryproc
,,,,,,,Charging,charging
,,,,,,,Alternator construction,alternatorconst
,,,,,,,Charging procedures ,chargingproc
,,,,,,,Starting,starting
,,,,,,,Starting procedures ,startingproc
,,,,,,,Lighting,lighting
,,,,,,,Types of lights,typeslight
,,,,,,,Lighting circuits,lightingcircuits
,,,,,,,Lighting procedures,lightingproc
,,,,,,,Electrical testing procedures ,electestproc
,,,,,,,Ignition systems,ignitionsys
,,,,,,,Contact breaker ignition,contactbreakerignition
,,,,,,,Contact breaker components,contactbreakcomp
,,,,,,,Electronic systems & components,electronicsyscomp
,,,,,,,Distributorless systems ,distributorless
,,,,,,,Ignition procedures,ignitionproc
,,,,,,,Electronics,electronics
,,,,,,,Security systems,securitysys
,,,,,,,Entertainment & peripheral systems,entertainment
,,,,,,,Satellite assisted systems,satellitesys
,,,,,,,Hybrid drive systems,hybridsystems
,,,,,Practice Exam,PE,MITO Electrical & Electronics,51MITOelecPE
,,,hvac,HVAC,Topic Group Test,TGT,HVAC basic principles ,hvacbasicprinc
,,,,,,,Fixed orifice tube air-conditioning system ,fixedorifice
,,,,,,,Thermal expansion valve air-conditioning system,thermalexpansion
,,,,,,,Air-conditioning components,airconcomp
,,,,,,,Climate control,climatecontrol
,,,,,Find-The-Missing Word,FTMW,HVAC basic principles ,hvacbasicprinc
,,,,,,,Fixed orifice tube air-conditioning system ,fixedorifice
,,,,,,,Thermal expansion valve air-conditioning system,thermalexpansion
,,,,,,,Air-conditioning components,airconcomp
,,,,,,,Climate control,climatecontrol
,,,,,,,HVAC procedures,hvacproc
,,,,,Practice Exam,PE,MITO HVAC,51MITOhvacPE
,,,bodywork,Vehicle Bodywork,Topic Group Test,TGT,Chassis,chassis
,,,,,,,Body designs,bodydesigns
,,,,,,,Safety systems,safetysys
,,,,,Find-The-Missing Word,FTMW,Chassis,chassis
,,,,,,,Body designs,bodydesigns
,,,,,,,Safety systems,safetysys
,,,,,Practice Exam,PE,MITO Vehicle Bodywork,51MITObodyworkPE
